season,site,niche,quad,blank_corrected_ppm,dry_mass,sample_area_cm2,sample_depth_cm,moist
fall,GibFalls,Litter,1,-2.5651448,0.62,4.909,2,8.065
fall,GravPit,Litter,8,-2.9018488,1.02,4.909,2,7.843
fall,GravPit,Soil,1,-2.9234952,10.47,4.909,2,7.832
fall,GibFalls,Wood,1,-3.2449,1.55,4.909,2,7.742
fall,GibFalls,Soil,1,-2.7001752,5.19,4.909,2,7.707
summer_wet,BiscBas,Soil,NE,-0.955072,13.02,4.909,2,7.45
fall,FirLopSo,Wood,1,-3.043096,1.75,4.909,2,7.429
fall,GravPit,Lichen,7,-8.2998232,3.4,4.909,2,7.353
fall,FirLopSo,Litter,4,-3.3643648,0.71,4.909,2,7.042
summer,FounEast,Moss,6,-2.24554,0.58,4.909,2,6.897
summer,FounEast,Soil,6,-1.3841688,7.43,4.909,2,6.864
fall,GravPit,Litter,3,-1.8886248,0.89,4.909,2,6.742
fall,GravPit,Lichen,6,-8.7750712,1.34,4.909,2,6.716
fall,BiscBas,Lichen,3,-8.9024512,3.15,4.909,2,6.667
fall,BiscBas,Lichen,5,-8.8259792,3.34,4.909,2,6.587
fall,FirLopSo,Soil,8,-3.4718912,13.58,4.909,2,6.48
fall,GravPit,Lichen,5,-7.7878952,2.02,4.909,2,6.436
fall,BiscBas,Lichen,8,-6.6291632,4.12,4.909,2,6.311
fall,GibFalls,Lichen,8,-8.0783672,1.75,4.909,2,6.286
summer,FounEast,Wood,6,-2.1989928,2.26,4.909,2,6.195
summer_wet,BiscBas,Soil,SW,-0.044056,7.08,4.909,2,6.073
fall,GibFalls,Lichen,5,-7.9467752,2.82,4.909,2,6.028
fall,FounEast,Moss,3,-1.9850856,3.2,4.909,2,5.937
summer,FounEast,Soil,8,-1.4576968,5.97,4.909,2,5.863
summer_wet,BiscBas,Lichen,NW,-1.438626667,2.06,4.909,2,5.825
summer,FounEast,Litter,SE,-2.153848,0.86,4.909,2,5.814
fall,GravPit,Litter,4,-2.0729128,0.86,4.909,2,5.814
fall,FirLopSo,Lichen,3,-8.8659872,2.42,4.909,2,5.785
summer,FounEast,Soil,NE,-1.4421288,6.87,4.909,2,5.677
summer,FounEast,Litter,SW,-2.049456,1.08,4.909,2,5.556
fall,GibFalls,Soil,8,-2.9449032,12.98,4.909,2,5.547
fall,GravPit,Soil,3,-2.9388792,4.54,4.909,2,5.507
fall,FirLopSo,Soil,2,-3.5213632,6.41,4.909,2,5.304
summer,GravPit,Soil,SE,-2.2963928,3.43,4.909,2,5.248
fall,FirLopSo,Soil,3,-3.6736752,10,4.909,2,5.2
fall,FirLopSo,Soil,4,-3.5882752,6.39,4.909,2,5.164
fall,GravPit,Soil,4,-3.0530392,9.57,4.909,2,4.911
fall,GibFalls,Moss,7,-2.5479816,3.88,4.909,2,4.897
fall,GibFalls,Moss,3,-2.5972376,2.47,4.909,2,4.858
fall,BiscBas,Lichen,2,-9.2168192,3.33,4.909,2,4.805
fall,GibFalls,Soil,4,-3.1412792,11.55,4.909,2,4.675
summer,GibFalls,Soil,SE,-1.9396408,6.87,4.909,2,4.658
summer,FounEast,Litter,NW,-1.656176,0.65,4.909,2,4.615
fall,GravPit,Soil,5,-2.9660792,6.09,4.909,2,4.598
summer,BiscBas,Soil,SE,-2.5730568,5.41,4.909,2,4.436
fall,GibFalls,Moss,4,-2.3733896,2.28,4.909,2,4.386
summer,FounEast,Litter,7,-2.456704,0.69,4.909,2,4.348
fall,GravPit,Lichen,4,-7.1799912,2.07,4.909,2,4.348
